Index, pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,ObjName
1,-1,1,1,0,40.8407,0,Flor_I_one
2,-7,1,1,0,47.1239,0,Flor_I_one
3,-9,1,1,0,47.1239,0,Flor_I_one
4,-11,1,1,0,47.1239,0,Flor_I_one
5,-13,1,1,0,47.1239,0,Flor_I_one
6,-15,1,1,0,47.1239,0,Flor_I_one
7,-17,1,1,0,47.1239,0,Flor_I_one
8,-19,1,1,0,47.1239,0,Flor_I_one
9,-21,1,1,0,47.1239,0,Flor_I_one
10,-23,1,1,0,47.1239,0,Flor_I_one
11,-25,1,1,0,47.1239,0,Flor_I_one
12,-27,1,1,0,47.1239,0,Flor_I_one
13,-29,1,1,0,47.1239,0,Flor_L_one
14,-29,1,3,0,48.6947,0,Flor_I_one
15,-29,1,5,0,48.6947,0,Flor_I_one
16,-29,1,7,0,48.6947,0,Flor_I_one
17,-29,1,9,0,48.6947,0,Flor_I_one
18,-29,1,11,0,48.6947,0,Flor_I_one
19,-29,1,13,0,48.6947,0,Flor_I_one
20,-29,1,15,0,48.6947,0,Flor_I_one
21,-29,1,19,0,48.6947,0,Flor_L_one
22,-27,1,19,0,50.2655,0,Flor_I_one
23,-25,1,19,0,50.2655,0,Flor_I_one
24,-23,1,19,0,50.2655,0,Flor_I_one
25,-21,1,19,0,50.2655,0,Flor_I_one
26,-19,1,19,0,50.2655,0,Flor_I_one
27,-17,1,19,0,50.2655,0,Flor_I_one
28,-15,1,19,0,50.2655,0,Flor_I_one
29,-13,1,19,0,50.2655,0,Flor_I_one
30,-11,1,19,0,50.2655,0,Flor_I_one
31,-9,1,19,0,50.2655,0,Flor_I_one
32,-7,1,19,0,50.2655,0,Flor_I_one
33,-5,1,19,0,50.2655,0,Flor_I_one
34,-3,1,19,0,50.2655,0,Flor_I_one
35,-1,1,19,0,50.2655,0,Flor_I_one
36,1,1,19,0,50.2655,0,Flor_L_one
37,-1,1,3,0,64.4027,0,Flor
38,-1,1,5,0,64.4027,0,Flor
39,-1,1,7,0,64.4027,0,Flor
