Index, pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,ObjName
1,19,1,-24,0,37.6991,0,Wall_out
2,17,1,-24,0,37.6991,0,Wall_out
3,13,1,-24,0,37.6991,0,Wall_out
4,11,1,-24,0,37.6991,0,Wall_out
5,9,1,-24,0,37.6991,0,Wall_out
6,7,1,-24,0,37.6991,0,Wall_out
7,5,1,-24,0,37.6991,0,Wall_out
8,3,1,-24,0,37.6991,0,Wall_out
9,1,1,-24,0,37.6991,0,Wall_out
10,-1,1,-24,0,37.6991,0,Wall_out
11,-5,1,-24,0,37.6991,0,Wall_out
12,-11,1,-24,0,37.6991,0,Wall_out
13,-13,1,-24,0,37.6991,0,Wall_out
14,-15,1,-24,0,37.6991,0,Wall_out
15,-17,1,-24,0,37.6991,0,Wall_out
16,-19,1,2,0,40.8407,0,Wall_out
17,-15,1,2,0,40.8407,0,Wall_out
18,-13,1,2,0,40.8407,0,Wall_out
19,-11,1,2,0,40.8407,0,Wall_out
20,-9,1,2,0,40.8407,0,Wall_out
21,-7,1,2,0,40.8407,0,Wall_out
22,11,1,2,0,40.8407,0,Wall_out
23,13,1,2,0,40.8407,0,Wall_out
24,15,1,2,0,40.8407,0,Wall_out
25,17,1,2,0,40.8407,0,Wall_out
26,19,1,2,0,40.8407,0,Wall_out
27,-16,1,-22,0,59.6903,0,Flor_I_one
28,-14,1,-22,0,59.6903,0,Flor_I_one
29,-14,1,-22,0,64.4027,0,Flor_L_one
30,-14,1,-20,0,70.6858,0,Flor_I_one
31,-14,1,-18,0,70.6858,0,Flor_I_one
32,-14,1,-16,0,70.6858,0,Flor_I_one
33,-14,1,-18,0,73.8274,0,Flor
34,-16,1,-18,0,73.8274,0,Flor
35,-14,1,-14,0,83.2522,0,Flor_I_one
36,-16,1,-16,0,92.6769,0,Flor
37,-14,1,-16,0,92.6769,0,Flor
38,-14,1,-12,0,120.951,0,Flor_I_one
39,-16,1,-14,0,124.093,0,Flor
40,-14,1,-14,0,124.093,0,Flor
41,-16,1,-12,0,141.372,0,KeyDoor
42,-13,1,-12,0,141.372,0,Wall
43,-12,1,-13,0,149.226,0,Wall
44,-12,1,-15,0,149.226,0,Wall
45,-12,1,-17,0,149.226,0,Wall
46,-12,1,-19,0,149.226,0,Wall
47,-12,1,-21,0,149.226,0,Wall
48,-12,1,-23,0,149.226,0,Wall
49,-12,1,-11,0,155.509,0,Wall
50,-12,1,-9,0,155.509,0,Wall
51,-12,1,1,0,155.509,0,Wall
52,-16,1,-10,0,160.221,0,Flor_I_one
53,-14,1,-10,0,160.221,0,Flor_I_one
54,-14,1,-10,0,164.934,0,Flor_L_one
55,-14,1,-8,0,164.934,0,Flor_I_one
56,-14,1,-6,0,164.934,0,Flor_I_one
57,-16,1,0,0,175.929,0,Flor_I_one
58,-14,1,0,0,175.929,0,Flor_L_one
59,-14,1,0,0,177.5,0,Flor_I_one
60,-14,1,-2,0,177.5,0,Flor_I_one
61,-14,1,-4,0,177.5,0,Flor_I_one
62,-16,1,0,0,179.071,0,Flor
63,-16,1,-2,0,179.071,0,Flor
64,-16,1,-4,0,179.071,0,Flor
65,-16,1,-6,0,179.071,0,Flor
66,-16,1,-8,0,179.071,0,Flor
67,-14,1,-8,0,179.071,0,Flor
68,-14,1,-6,0,179.071,0,Flor
69,-14,1,-4,0,179.071,0,Flor
70,-14,1,-2,0,179.071,0,Flor
71,-14,1,0,0,179.071,0,Flor
72,7,1,2,0,185.354,0,Wall_out
73,9,1,2,0,185.354,0,Wall_out
74,-1,1,2,0,197.92,0,Wall_out
75,-10,1,0,0,199.491,0,Flor_L_one
76,-10,1,-2,0,205.774,0,Flor_I_one
77,-10,1,0,0,219.912,0,Flor_I_one
78,-8,1,0,0,219.912,0,Flor_I_one
79,-6,1,0,0,219.912,0,Flor_I_one
80,-4,1,0,0,219.912,0,Flor_I_one
81,-2,1,0,0,219.912,0,Flor_I_one
82,2,1,0,0,219.912,0,Flor_I_one
83,4,1,0,0,219.912,0,Flor_I_one
84,6,1,0,0,219.912,0,Flor_I_one
85,8,1,0,0,219.912,0,Flor_I_one
86,10,1,0,0,219.912,0,Flor_I_one
87,12,1,0,0,219.912,0,Flor_L_one
88,12,1,-2,0,234.049,0,Flor_I_one
89,12,1,0,0,234.049,0,Flor_I_one
90,10,1,0,0,234.049,0,Flor
91,8,1,0,0,234.049,0,Flor
92,6,1,0,0,234.049,0,Flor
93,4,1,0,0,234.049,0,Flor
94,2,1,0,0,234.049,0,Flor
95,-2,1,0,0,234.049,0,Flor
96,-4,1,0,0,234.049,0,Flor
97,-6,1,0,0,234.049,0,Flor
98,-8,1,0,0,234.049,0,Flor
99,-10,1,0,0,234.049,0,Flor
100,-10,1,-2,0,234.049,0,Flor
101,-8,1,-2,0,234.049,0,Flor
102,-6,1,-2,0,234.049,0,Flor
103,-4,1,-2,0,234.049,0,Flor
104,-2,1,-2,0,234.049,0,Flor
105,0,1,-2,0,234.049,0,Flor
106,2,1,-2,0,234.049,0,Flor
107,4,1,-2,0,234.049,0,Flor
108,6,1,-2,0,234.049,0,Flor
109,8,1,-2,0,234.049,0,Flor
110,10,1,-2,0,234.049,0,Flor
111,16,1,0,0,306.306,0,Flor_L_one
112,16,1,0,0,307.876,0,Flor_I_one
113,16,1,-2,0,312.589,0,Flor_I_one
114,16,1,-4,0,312.589,0,Flor_I_one
115,16,1,-6,0,312.589,0,Flor_I_one
116,16,1,-8,0,312.589,0,Flor_I_one
117,16,1,-10,0,312.589,0,Flor_I_one
118,16,1,-12,0,318.872,0,Flor_I_one
119,16,1,-14,0,318.872,0,Flor_I_one
120,16,1,-16,0,318.872,0,Flor_I_one
121,16,1,-18,0,318.872,0,Flor_I_one
122,16,1,-20,0,318.872,0,Flor_I_one
123,16,1,-22,0,318.872,0,Flor_I_one
124,16,1,-22,0,323.584,0,Flor_L_one
125,-12,1,-7,0,331.438,0,Wall
126,-12,1,-5,0,331.438,0,Wall
127,-12,1,-2,0,331.438,0,OpenDoor
128,14,1,-2,0,331.438,0,OpenDoor
129,14,1,1,0,331.438,0,Wall
130,14,1,-5,0,331.438,0,Wall
131,-10,1,-4,0,350.288,0,Flor_I_one
132,-10,1,-4,0,355,0,Flor_L_one
133,12,1,-4,0,359.713,0,Flor_L_one
134,12,1,-4,0,361.284,0,Flor_I_one
135,10,1,-4,0,361.284,0,Flor_I_one
136,8,1,-4,0,361.284,0,Flor_I_one
137,6,1,-4,0,361.284,0,Flor_I_one
138,4,1,-4,0,361.284,0,Flor_I_one
139,2,1,-4,0,361.284,0,Flor_I_one
140,0,1,-4,0,361.284,0,Flor_I_one
141,-2,1,-4,0,361.284,0,Flor_I_one
142,-4,1,-4,0,361.284,0,Flor_I_one
143,-6,1,-4,0,361.284,0,Flor_I_one
144,-8,1,-4,0,361.284,0,Flor_I_one
145,13,1,-6,0,364.425,0,Wall
146,11,1,-6,0,364.425,0,Wall
147,9,1,-6,0,364.425,0,Wall
148,7,1,-6,0,364.425,0,Wall
149,5,1,-6,0,364.425,0,Wall
150,3,1,-6,0,364.425,0,Wall
151,1,1,-6,0,364.425,0,Wall
152,-1,1,-6,0,364.425,0,Wall
153,-3,1,-6,0,364.425,0,Wall
154,-5,1,-6,0,364.425,0,Wall
155,-7,1,-6,0,364.425,0,Wall
156,-9,1,-6,0,364.425,0,Wall
157,-11,1,-6,0,364.425,0,Wall
158,18,1,-20,0,367.567,0,Flor
159,16,1,0,0,372.279,0,Flor
160,16,1,-2,0,372.279,0,Flor
161,16,1,-4,0,372.279,0,Flor
162,16,1,-6,0,372.279,0,Flor
163,16,1,-8,0,372.279,0,Flor
164,16,1,-10,0,372.279,0,Flor
165,16,1,-12,0,372.279,0,Flor
166,16,1,-14,0,372.279,0,Flor
167,16,1,-16,0,372.279,0,Flor
168,16,1,-18,0,372.279,0,Flor
169,12,1,-24,0,6.28319,0,Flor
170,12,1,-22,0,6.28319,0,Flor
171,12,1,-18,0,6.28319,0,Flor
172,12,1,-16,0,6.28319,0,Flor
173,0,1,-22,0,6.28319,0,Flor
174,0,1,-18,0,6.28319,0,Flor
175,12,1,-8,0,7.85398,0,Flor_I_one
176,12,1,-10,0,7.85398,0,Flor_I_one
177,12,1,-12,0,7.85398,0,Flor_L_one
178,12,1,-12,0,9.42478,0,Flor_I_one
179,10,1,-12,0,9.42478,0,Flor_I_one
180,8,1,-12,0,9.42478,0,Flor_I_one
181,6,1,-12,0,9.42478,0,Flor_I_one
182,4,1,-12,0,9.42478,0,Flor_I_one
183,2,1,-12,0,9.42478,0,Flor_I_one
184,10,1,-8,0,12.5664,0,Flor_I_one
185,8,1,-8,0,12.5664,0,Flor_I_one
186,6,1,-8,0,12.5664,0,Flor_I_one
187,4,1,-8,0,12.5664,0,Flor_I_one
188,2,1,-8,0,12.5664,0,Flor_I_one
189,0,1,-8,0,12.5664,0,Flor_I_one
190,-2,1,-8,0,12.5664,0,Flor_I_one
191,-4,1,-8,0,12.5664,0,Flor_I_one
192,-6,1,-8,0,12.5664,0,Flor_I_one
193,-8,1,-8,0,12.5664,0,Flor_I_one
194,-10,1,-8,0,12.5664,0,Flor_I_one
195,-10,1,-8,0,17.2788,0,Flor_L_one
196,12,1,-8,0,18.8496,0,Flor_L_one
197,-10,1,-22,0,21.9911,0,Flor_L_one
198,-2,1,-22,0,26.7035,0,Flor_L_one
199,-2,1,-22,0,28.2743,0,Flor_I_one
200,-4,1,-22,0,28.2743,0,Flor_I_one
201,-6,1,-22,0,28.2743,0,Flor_I_one
202,-10,1,-22,0,29.8451,0,Flor_I_one
203,-10,1,-20,0,29.8451,0,Flor_I_one
204,-10,1,-18,0,29.8451,0,Flor_I_one
205,-10,1,-16,0,29.8451,0,Flor_I_one
206,-10,1,-14,0,29.8451,0,Flor_I_one
207,-10,1,-12,0,29.8451,0,Flor_I_one
208,-10,1,-10,0,29.8451,0,Flor_I_one
209,12,1,-10,0,29.8451,0,Flor
210,10,1,-10,0,29.8451,0,Flor
211,8,1,-10,0,29.8451,0,Flor
212,6,1,-10,0,29.8451,0,Flor
213,4,1,-10,0,29.8451,0,Flor
214,2,1,-10,0,29.8451,0,Flor
215,0,1,-10,0,29.8451,0,Flor
216,-2,1,-10,0,29.8451,0,Flor
217,-4,1,-10,0,29.8451,0,Flor
218,-6,1,-10,0,29.8451,0,Flor
219,-8,1,-10,0,29.8451,0,Flor
220,-8,1,-12,0,29.8451,0,Flor
221,-6,1,-12,0,29.8451,0,Flor
222,-4,1,-12,0,29.8451,0,Flor
223,-2,1,-12,0,29.8451,0,Flor
224,0,1,-12,0,29.8451,0,Flor
225,2,1,-12,0,29.8451,0,Flor
226,4,1,-12,0,29.8451,0,Flor
227,6,1,-12,0,29.8451,0,Flor
228,8,1,-12,0,29.8451,0,Flor
229,10,1,-12,0,29.8451,0,Flor
230,12,1,-12,0,29.8451,0,Flor
231,-2,1,-14,0,29.8451,0,Flor
232,-2,1,-16,0,29.8451,0,Flor
233,-2,1,-18,0,29.8451,0,Flor
234,-2,1,-20,0,29.8451,0,Flor
235,-2,1,-22,0,29.8451,0,Flor
236,-4,1,-22,0,29.8451,0,Flor
237,-4,1,-20,0,29.8451,0,Flor
238,-4,1,-18,0,29.8451,0,Flor
239,-4,1,-16,0,29.8451,0,Flor
240,-4,1,-14,0,29.8451,0,Flor
241,-6,1,-14,0,29.8451,0,Flor
242,-8,1,-14,0,29.8451,0,Flor
243,-8,1,-16,0,29.8451,0,Flor
244,-6,1,-16,0,29.8451,0,Flor
245,-6,1,-18,0,29.8451,0,Flor
246,-8,1,-18,0,29.8451,0,Flor
247,-8,1,-20,0,29.8451,0,Flor
248,-6,1,-22,0,29.8451,0,Flor
249,-6,1,-20,0,29.8451,0,Flor
250,-2,1,-20,0,32.9867,0,Flor_I_one
251,-2,1,-18,0,32.9867,0,Flor_I_one
