Index, pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,ObjName
1,-2,0,3,0,6.28319,0,UpDownFloor
2,-3,0,4,0,6.28319,0,Flor_I_one
3,-1,0,4,0,6.28319,0,Flor_L_one
4,-3,0,2,0,10.9956,0,Flor_I_one
5,-3,0,0,0,10.9956,0,Flor_I_one
6,-3,0,-2,0,10.9956,0,Flor_I_one
7,-3,0,-4,0,10.9956,0,Flor_I_one
8,-3,0,-6,0,10.9956,0,Flor_I_one
9,-3,0,4,0,10.9956,0,Flor_L_one
10,-1,0,4,0,14.1372,0,Flor_I_one
11,-1,0,2,0,14.1372,0,Flor_I_one
12,-1,0,0,0,14.1372,0,Flor_I_one
13,-1,0,-2,0,14.1372,0,Flor_I_one
14,-1,0,-4,0,14.1372,0,Flor_I_one
15,-3,0,2,0,14.1372,0,Flor
16,-3,0,0,0,14.1372,0,Flor
17,-3,0,-2,0,14.1372,0,Flor
18,-3,0,-4,0,14.1372,0,Flor
19,-1,0,-6,0,20.4204,0,Flor_I_one
20,-1,0,-8,0,20.4204,0,Flor_I_one
21,-1,0,-10,0,20.4204,0,Flor_I_one
22,-1,0,-12,0,20.4204,0,Flor_I_one
23,-3,0,-8,0,23.5619,0,Flor_I_one
24,-3,0,-10,0,23.5619,0,Flor_I_one
25,-3,0,-12,0,23.5619,0,Flor_I_one
26,-1,0,-8,0,23.5619,0,Flor
27,-1,0,-10,0,23.5619,0,Flor
28,-1,0,-12,0,23.5619,0,Flor
29,0,0,6,0,47.1239,0,Wall
30,-2,0,6,0,47.1239,0,Wall
31,-4,0,6,0,47.1239,0,Wall
32,-3,0,-16,0,62.8319,0,Flor
33,-3,0,-14,0,87.9646,0,Flor
34,-3,0,-14,0,92.6769,0,Flor_I_one
35,-3,0,-16,0,92.6769,0,Flor_I_one
36,-1,0,-14,0,95.8185,0,Flor_I_one
37,-2,0,-16,0,103.672,0,GhostA
38,-3,0,-18,0,105.243,0,Flor_I_one
39,-3,0,-20,0,105.243,0,Flor_I_one
40,-3,0,-22,0,105.243,0,Flor_I_one
41,-3,0,-24,0,105.243,0,Flor_I_one
42,-3,0,-26,0,105.243,0,Flor_I_one
43,-3,0,-28,0,105.243,0,Flor_I_one
44,-1,0,-16,0,108.385,0,Flor_I_one
45,-1,0,-18,0,108.385,0,Flor_I_one
46,-1,0,-20,0,108.385,0,Flor_I_one
47,-1,0,-22,0,108.385,0,Flor_I_one
48,-1,0,-24,0,108.385,0,Flor_I_one
49,-1,0,-26,0,108.385,0,Flor_I_one
50,-1,0,-28,0,108.385,0,Flor_I_one
51,-1,0,-30,0,108.385,0,Flor_I_one
52,-3,0,-16,0,108.385,0,Flor
53,-3,0,-18,0,108.385,0,Flor
54,-3,0,-20,0,108.385,0,Flor
55,-3,0,-22,0,108.385,0,Flor
56,-3,0,-24,0,108.385,0,Flor
57,-3,0,-26,0,108.385,0,Flor
58,-3,0,-28,0,108.385,0,Flor
59,-3,0,-30,0,108.385,0,Flor
