Index, pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,ObjName
1,19,1,-24,0,37.6991,0,Wall_out
2,17,1,-24,0,37.6991,0,Wall_out
3,15,1,-24,0,37.6991,0,Wall_out
4,11,1,-24,0,37.6991,0,Wall_out
5,3,1,-24,0,37.6991,0,Wall_out
6,1,1,-24,0,37.6991,0,Wall_out
7,-1,1,-24,0,37.6991,0,Wall_out
8,-3,1,-24,0,37.6991,0,Wall_out
9,-5,1,-24,0,37.6991,0,Wall_out
10,-11,1,-24,0,37.6991,0,Wall_out
11,-15,1,-24,0,37.6991,0,Wall_out
12,-19,1,-24,0,37.6991,0,Wall_out
13,5,1,2,0,40.8407,0,Wall_out
14,11,1,2,0,40.8407,0,Wall_out
15,13,1,2,0,40.8407,0,Wall_out
16,15,1,2,0,40.8407,0,Wall_out
17,17,1,2,0,40.8407,0,Wall_out
18,19,1,2,0,40.8407,0,Wall_out
19,-16,1,-22,0,59.6903,0,Flor_I_one
20,-14,1,-22,0,59.6903,0,Flor_I_one
21,-14,1,-22,0,64.4027,0,Flor_L_one
22,-14,1,-20,0,70.6858,0,Flor_I_one
23,7,1,2,0,185.354,0,Wall_out
24,9,1,2,0,185.354,0,Wall_out
25,-1,1,2,0,197.92,0,Wall_out
26,16,1,-2,0,372.279,0,Flor
27,16,1,-4,0,372.279,0,Flor
28,16,1,-6,0,372.279,0,Flor
29,16,1,-8,0,372.279,0,Flor
30,16,1,-10,0,372.279,0,Flor
31,16,1,-12,0,372.279,0,Flor
32,16,1,-14,0,372.279,0,Flor
33,16,1,-16,0,372.279,0,Flor
34,20,1,-21,0,17.2788,0,Wall_out
35,20,1,-19,0,17.2788,0,Wall_out
36,20,1,-17,0,17.2788,0,Wall_out
37,20,1,-15,0,17.2788,0,Wall_out
38,20,1,-13,0,17.2788,0,Wall_out
39,20,1,-11,0,17.2788,0,Wall_out
40,20,1,-9,0,17.2788,0,Wall_out
41,18,1,-22,0,53.4071,0,Flor_I_one
42,18,1,0,0,56.5487,0,Flor_L_one
43,18,1,0,0,58.1195,0,Flor_I_one
44,18,1,-2,0,58.1195,0,Flor_I_one
45,18,1,-4,0,58.1195,0,Flor_I_one
46,18,1,-6,0,58.1195,0,Flor_I_one
47,18,1,-8,0,58.1195,0,Flor_I_one
48,18,1,-10,0,58.1195,0,Flor_I_one
49,18,1,-12,0,58.1195,0,Flor_I_one
50,18,1,-14,0,58.1195,0,Flor_I_one
51,18,1,-16,0,58.1195,0,Flor_I_one
52,18,1,-22,0,64.4027,0,Flor_L_one
53,20,1,-1,0,67.5443,0,Wall_out
54,20,1,-3,0,67.5443,0,Wall_out
55,20,1,-5,0,67.5443,0,Wall_out
56,20,1,-7,0,86.3938,0,Wall_out
57,-18,1,-20,0,124.093,0,Flor_I_one
58,-18,1,-22,0,135.088,0,Flor_L_one
59,-18,1,-22,0,136.659,0,Flor_I_one
60,-16,-8,-19,0,141.372,0,UpDownFloor
61,-20,1,-21,0,146.084,0,Wall_out
62,-20,1,-19,0,146.084,0,Wall_out
63,-20,1,-17,0,146.084,0,Wall_out
64,-20,1,-15,0,146.084,0,Wall_out
65,-20,1,-13,0,146.084,0,Wall_out
66,-20,1,-5,0,146.084,0,Wall_out
67,-20,1,-3,0,146.084,0,Wall_out
68,-20,1,1,0,146.084,0,Wall_out
69,-20,1,2,0,169.646,0,Pillar
70,-20,1,-24,0,174.358,0,Pillar
71,-19,1,2,0,3.14159,0,Wall_out
72,-17,1,2,0,3.14159,0,Wall_out
73,-15,1,2,0,3.14159,0,Wall_out
74,-13,1,2,0,3.14159,0,Wall_out
75,-11,1,2,0,3.14159,0,Wall_out
76,-9,1,2,0,3.14159,0,Wall_out
77,-7,1,2,0,3.14159,0,Wall_out
78,-5,1,2,0,3.14159,0,Wall_out
79,-3,1,2,0,3.14159,0,Wall_out
80,1,1,2,0,3.14159,0,Wall_out
81,3,1,2,0,3.14159,0,Wall_out
82,-20,1,-23,0,26.7035,0,Wall_out
83,-20,1,-11,0,26.7035,0,Wall_out
84,-20,1,-9,0,26.7035,0,Wall_out
85,-20,1,-7,0,26.7035,0,Wall_out
86,-20,1,-1,0,26.7035,0,Wall_out
87,-17,1,-24,0,31.4159,0,Wall_out
88,-13,1,-24,0,31.4159,0,Wall_out
89,-9,1,-24,0,31.4159,0,Wall_out
90,-7,1,-24,0,31.4159,0,Wall_out
91,5,1,-24,0,31.4159,0,Wall_out
92,7,1,-24,0,31.4159,0,Wall_out
93,9,1,-24,0,31.4159,0,Wall_out
94,13,1,-24,0,31.4159,0,Wall_out
95,20,1,-23,0,36.1283,0,Wall_out
96,20,1,1,0,36.1283,0,Wall_out
97,20,1,2,0,39.2699,0,Pillar
98,20,1,-24,0,40.8407,0,Pillar
99,-9,1,-1,0,274.89,0,NarrowRoad1
100,-7,1,-1,0,274.89,0,NarrowRoad1
101,-5,1,-1,0,274.89,0,NarrowRoad1
102,-3,1,-1,0,274.89,0,NarrowRoad1
103,-1,1,-1,0,281.173,0,NarrowRoad3
104,7,1,-1,0,290.598,0,NarrowRoad1
105,5,1,-1,0,290.598,0,NarrowRoad1
106,3,1,-1,0,300.022,0,NarrowRoad2
107,1,1,-1,0,301.593,0,NarrowRoad2
108,-1,1,-3,0,301.593,0,NarrowRoad3
109,-3,1,-3,0,306.306,0,NarrowRoad1
110,-5,1,-3,0,306.306,0,NarrowRoad1
111,-7,1,-3,0,312.589,0,NarrowRoad2
112,-11,1,-11,0,318.872,0,NarrowRoad2
113,-9,1,-11,0,320.443,0,NarrowRoad2
114,-9,1,-13,0,323.584,0,NarrowRoad2
115,-7,1,-13,0,328.297,0,NarrowRoad2
116,-7,1,-11,0,331.438,0,NarrowRoad2
117,-5,1,-11,0,340.863,0,NarrowRoad2
118,-1,1,-5,0,353.43,0,NarrowRoad2
119,-3,1,-5,0,356.571,0,NarrowRoad2
120,-3,1,-7,0,370.708,0,NarrowRoad3
121,-3,1,-9,0,370.708,0,NarrowRoad3
122,-5,1,-9,0,375.421,0,NarrowRoad2
123,-7,1,-5,0,376.992,0,NarrowRoad1
124,-7,1,-7,0,380.133,0,NarrowRoad2
125,-5,1,-7,0,381.704,0,NarrowRoad1
126,1,1,-3,0,383.275,0,NarrowRoad1
127,1,1,-5,0,383.275,0,NarrowRoad1
128,1,1,-7,0,383.275,0,NarrowRoad1
129,5,1,-3,0,384.846,0,NarrowRoad1
130,3,1,-3,0,386.417,0,NarrowRoad3
131,3,1,-5,0,386.417,0,NarrowRoad1
132,1,1,-9,0,386.417,0,NarrowRoad2
133,3,1,-9,0,391.129,0,NarrowRoad2
134,3,1,-7,0,392.7,0,NarrowRoad1
135,-3,1,-11,0,392.7,0,NarrowRoad1
136,-3,1,-13,0,392.7,0,NarrowRoad1
137,-3,1,-15,0,392.7,0,NarrowRoad2
138,1,1,-19,0,406.837,0,NarrowRoad1
139,3,1,-21,0,411.549,0,NarrowRoad2
140,3,1,-19,0,427.257,0,NarrowRoad2
141,5,1,-21,0,428.828,0,NarrowRoad2
142,5,1,-19,0,439.824,0,NarrowRoad1
143,5,1,-17,0,444.536,0,NarrowRoad2
144,-1,1,-15,0,477.523,0,NarrowRoad2
145,-1,1,-16,0,479.094,0,NarrowRoad2
146,-3,1,-16,0,482.235,0,NarrowRoad2
147,-3,1,-17,0,486.948,0,NarrowRoad2
148,-1,1,-17,0,496.373,0,NarrowRoad2
149,-1,1,-19,0,505.797,0,NarrowRoad2
150,16,1,-16,0,543.497,0,KeyDoor
151,19,1,-16,0,543.497,0,Wall
152,16,1,0,0,552.921,0,Flor_I_one
153,18,1,-2,0,557.634,0,Flor
154,16,1,-2,0,557.634,0,Flor
155,16,1,-4,0,557.634,0,Flor
156,16,1,-6,0,557.634,0,Flor
157,16,1,-8,0,557.634,0,Flor
158,16,1,-10,0,557.634,0,Flor
159,16,1,-12,0,557.634,0,Flor
160,16,1,-14,0,557.634,0,Flor
161,16,1,-16,0,557.634,0,Flor
162,16,1,-18,0,557.634,0,Flor
163,16,1,-22,0,562.346,0,Flor_I_one
164,14,1,0,0,565.488,0,Flor_I_one
165,14,1,0,0,570.2,0,Flor_L_one
166,14,1,-22,0,574.913,0,Flor_L_one
167,14,1,-2,0,601.616,0,Flor_I_one
168,14,1,-4,0,601.616,0,Flor_I_one
169,14,1,-6,0,601.616,0,Flor_I_one
170,14,1,-8,0,601.616,0,Flor_I_one
171,14,1,-10,0,601.616,0,Flor_I_one
172,14,1,-12,0,601.616,0,Flor_I_one
173,14,1,-14,0,601.616,0,Flor_I_one
174,14,1,-16,0,601.616,0,Flor_I_one
175,14,1,-20,0,601.616,0,Flor_I_one
176,14,1,-22,0,601.616,0,Flor_I_one
177,12,1,-17,0,604.758,0,Wall
178,12,1,-19,0,604.758,0,Wall
179,13,1,-16,0,612.612,0,Wall
180,12,1,-21,0,617.324,0,Wall
181,12,1,-23,0,617.324,0,Wall
182,12,1,-15,0,617.324,0,Wall
183,12,1,1,0,623.607,0,Wall
184,12,1,-1,0,623.607,0,Wall
185,12,1,-3,0,623.607,0,Wall
186,12,1,-5,0,623.607,0,Wall
187,12,1,-13,0,623.607,0,Wall
188,9,1,-13,0,633.032,0,NarrowRoad2
189,11,1,-13,0,642.457,0,NarrowRoad2
190,11,1,-11,0,645.599,0,NarrowRoad2
191,9,1,-1,0,659.736,0,NarrowRoad2
192,9,1,-3,0,666.019,0,NarrowRoad3
193,9,1,-5,0,672.302,0,NarrowRoad1
194,9,1,-7,0,675.444,0,NarrowRoad2
195,11,1,-7,0,677.015,0,NarrowRoad1
196,7,1,-3,0,677.015,0,NarrowRoad1
197,9,1,-15,0,680.156,0,NarrowRoad2
198,7,1,-15,0,683.298,0,NarrowRoad3
199,7,1,-17,0,692.723,0,NarrowRoad2
200,5,1,-13,0,697.435,0,NarrowRoad2
201,3,1,-13,0,702.147,0,NarrowRoad2
202,3,1,-15,0,706.86,0,NarrowRoad2
203,5,1,-15,0,711.572,0,NarrowRoad3
204,-11,1,-13,0,713.143,0,NarrowRoad1
205,-11,1,-15,0,713.143,0,NarrowRoad1
206,-11,1,-17,0,717.855,0,NarrowRoad2
207,-18,1,-18,0,733.563,0,Flor_I_one
208,-14,1,-18,0,736.705,0,Flor_I_one
209,-14,1,-16,0,736.705,0,Flor_I_one
210,-14,1,-14,0,736.705,0,Flor_I_one
211,-14,1,-12,0,736.705,0,Flor_I_one
212,-14,1,-10,0,736.705,0,Flor_I_one
213,-14,1,-8,0,736.705,0,Flor_I_one
214,-14,1,-6,0,736.705,0,Flor_I_one
215,-18,1,-16,0,739.847,0,Flor_I_one
216,-18,1,-14,0,739.847,0,Flor_I_one
217,-18,1,-12,0,739.847,0,Flor_I_one
218,-18,1,-10,0,739.847,0,Flor_I_one
219,-18,1,-8,0,739.847,0,Flor_I_one
220,-18,1,-6,0,739.847,0,Flor_I_one
221,-18,1,-4,0,739.847,0,Flor_I_one
222,-18,1,-2,0,739.847,0,Flor_I_one
223,-18,1,0,0,746.13,0,Flor_L_one
224,-14,1,-18,0,746.13,0,Flor
225,-16,1,-18,0,746.13,0,Flor
226,-16,1,-16,0,746.13,0,Flor
227,-14,1,-16,0,746.13,0,Flor
228,-17,1,-13,0,747.701,0,NarrowRoad1
229,-17,1,-11,0,752.413,0,NarrowRoad2
230,-15,1,-11,0,755.555,0,NarrowRoad2
231,-15,1,-9,0,757.125,0,NarrowRoad1
232,-14,1,-6,0,757.125,0,Flor
233,-16,1,-6,0,757.125,0,Flor
234,-14,1,-4,0,757.125,0,Flor
235,-16,1,-4,0,757.125,0,Flor
236,-16,1,-2,0,757.125,0,Flor
237,-16,1,0,0,757.125,0,Flor
238,-14,1,0,0,757.125,0,Flor
239,-14,1,-2,0,757.125,0,Flor
240,-18,1,0,0,760.267,0,Flor_I_one
241,-16,1,0,0,760.267,0,Flor_I_one
