Index, pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,ObjName
1,4,0,1,0,15.708,0,Wall
2,2,0,1,0,21.9911,0,Wall
3,-2,0,1,0,21.9911,0,Wall
4,-6,0,1,0,21.9911,0,Wall
5,-8,0,1,0,21.9911,0,Wall
6,-4,0,1,0,47.1239,0,Wall
7,-4,0,0,0,50.2655,0,Sayaka_s
8,0,0,0,0,50.2655,0,Towa_s
9,3,0,-1,0,51.8363,0,Flor_I_one
10,-5,0,-1,0,56.5487,0,Flor_I_one
11,-3,0,-1,0,56.5487,0,Flor_I_one
12,-1,0,-1,0,56.5487,0,Flor_I_one
13,1,0,-1,0,56.5487,0,Flor_I_one
14,3,0,-1,0,56.5487,0,Flor_L_one
15,-1,0,1,0,56.5487,0,Flor
16,3,0,-3,0,58.1195,0,Flor_I_one
17,3,0,-5,0,58.1195,0,Flor_I_one
18,3,0,-7,0,58.1195,0,Flor_L_one
19,-7,0,-1,0,67.5443,0,Flor_L_one
20,-7,0,-1,0,69.115,0,Flor_I_one
21,-7,0,-3,0,73.8274,0,Flor_I_one
22,-7,0,-5,0,73.8274,0,Flor_I_one
23,3,0,-1,0,78.5398,0,Flor
24,1,0,-1,0,78.5398,0,Flor
25,-1,0,-1,0,78.5398,0,Flor
26,-3,0,-1,0,78.5398,0,Flor
27,-5,0,-1,0,78.5398,0,Flor
28,-5,0,-3,0,78.5398,0,Flor
29,-3,0,-3,0,78.5398,0,Flor
30,-1,0,-3,0,78.5398,0,Flor
31,1,0,-3,0,78.5398,0,Flor
32,3,0,-3,0,78.5398,0,Flor
33,3,0,-5,0,78.5398,0,Flor
34,1,0,-5,0,78.5398,0,Flor
35,-1,0,-5,0,78.5398,0,Flor
36,-3,0,-5,0,78.5398,0,Flor
37,-5,0,-5,0,78.5398,0,Flor
38,-7,0,-7,0,80.1106,0,Flor_I_one
39,-7,0,-7,0,84.823,0,Flor_L_one
40,-5,0,-7,0,84.823,0,Flor_I_one
41,-3,0,-7,0,84.823,0,Flor_I_one
42,-1,0,-7,0,84.823,0,Flor_I_one
43,1,0,-7,0,84.823,0,Flor_I_one
44,3,0,-7,0,84.823,0,Flor_I_one
45,-11,0,-5,0,89.5354,0,Flor_I_one
46,-11,0,-3,0,89.5354,0,Flor_I_one
47,-11,0,-7,0,89.5354,0,Flor_L_one
48,-11,0,-3,0,94.2477,0,Flor_L_one
49,-13,0,-3,0,94.2477,0,Flor_I_one
50,-15,0,-3,0,94.2477,0,Flor_I_one
51,-17,0,-3,0,94.2477,0,Flor_I_one
52,-11,0,-7,0,97.3893,0,Flor_I_one
53,-13,0,-7,0,97.3893,0,Flor_I_one
54,-15,0,-7,0,97.3893,0,Flor_I_one
55,-17,0,-7,0,97.3893,0,Flor_I_one
56,-19,0,-3,0,100.531,0,Flor_I_one
57,-9,0,0,0,124.093,0,Wall
58,-10,0,-1,0,125.664,0,Wall
59,-12,0,-1,0,125.664,0,Wall
60,-14,0,-1,0,125.664,0,Wall
61,-17,0,-1,0,138.23,0,OpenDoor
62,-21,0,-3,0,138.23,0,Flor_I_one
63,-21,0,-3,0,142.942,0,Flor_L_one
64,-21,0,-7,0,147.655,0,Flor_L_one
65,-19,0,-7,0,147.655,0,Flor_I_one
66,-21,0,-7,0,149.226,0,Flor_I_one
67,-21,0,-5,0,149.226,0,Flor_I_one
68,-11,0,-5,0,149.226,0,Flor
69,-11,0,-7,0,149.226,0,Flor
70,-13,0,-7,0,149.226,0,Flor
71,-13,0,-5,0,149.226,0,Flor
72,-15,0,-5,0,149.226,0,Flor
73,-15,0,-7,0,149.226,0,Flor
74,-17,0,-7,0,149.226,0,Flor
75,-17,0,-5,0,149.226,0,Flor
76,-19,0,-5,0,149.226,0,Flor
77,-19,0,-7,0,149.226,0,Flor
78,-19,0,1,0,153.938,0,Flor_I_one
79,-17,0,1,0,153.938,0,Flor_I_one
80,-15,0,1,0,153.938,0,Flor_I_one
81,-13,0,1,0,153.938,0,Flor_I_one
82,-11,0,1,0,153.938,0,Flor_I_one
83,-11,0,1,0,164.934,0,Flor_L_one
84,-11,0,3,0,164.934,0,Flor_I_one
85,-11,0,5,0,164.934,0,Flor_I_one
86,-11,0,7,0,164.934,0,Flor_I_one
87,-11,0,9,0,164.934,0,Flor_I_one
88,-11,0,9,0,175.929,0,Flor_L_one
89,-13,0,9,0,175.929,0,Flor_I_one
90,-15,0,9,0,175.929,0,Flor_I_one
91,-17,0,9,0,175.929,0,Flor_I_one
92,-19,0,9,0,175.929,0,Flor_I_one
93,-21,0,9,0,175.929,0,Flor_I_one
94,-21,0,9,0,186.925,0,Flor_L_one
95,-21,0,1,0,191.637,0,Flor_L_one
96,-21,0,1,0,193.208,0,Flor_I_one
97,-21,0,3,0,193.208,0,Flor_I_one
98,-21,0,5,0,193.208,0,Flor_I_one
99,-21,0,7,0,193.208,0,Flor_I_one
100,-19,0,1,0,193.208,0,Flor
101,-17,0,1,0,193.208,0,Flor
102,-15,0,1,0,193.208,0,Flor
103,-13,0,1,0,193.208,0,Flor
104,-11,0,1,0,193.208,0,Flor
105,-11,0,3,0,193.208,0,Flor
106,-13,0,3,0,193.208,0,Flor
107,-15,0,3,0,193.208,0,Flor
108,-17,0,3,0,193.208,0,Flor
109,-19,0,3,0,193.208,0,Flor
110,-19,0,5,0,193.208,0,Flor
111,-19,0,7,0,193.208,0,Flor
112,-17,0,7,0,193.208,0,Flor
113,-17,0,5,0,193.208,0,Flor
114,-15,0,5,0,193.208,0,Flor
115,-15,0,7,0,193.208,0,Flor
116,-13,0,7,0,193.208,0,Flor
117,-13,0,5,0,193.208,0,Flor
118,-11,0,5,0,193.208,0,Flor
119,-11,0,7,0,193.208,0,Flor
120,-12,0,5,0,193.208,0,Switch
121,-17,0,11,0,204.204,0,SwitchDoor
122,-20,0,11,0,210.487,0,Wall
123,-22,0,11,0,210.487,0,Wall
124,-14,0,11,0,210.487,0,Wall
125,-12,0,11,0,210.487,0,Wall
126,-10,0,11,0,210.487,0,Wall
127,-9,0,2,0,212.058,0,Wall
128,-9,0,4,0,212.058,0,Wall
129,-9,0,6,0,212.058,0,Wall
130,-9,0,8,0,212.058,0,Wall
131,-9,0,10,0,212.058,0,Wall
132,-20,0,-1,0,226.195,0,Wall
133,-22,0,-1,0,226.195,0,Wall
134,-23,0,-2,0,230.907,0,Wall
