Index, pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,ObjName
1,19,1,-24,0,37.6991,0,Wall_out
2,17,1,-24,0,37.6991,0,Wall_out
3,15,1,-24,0,37.6991,0,Wall_out
4,13,1,-24,0,37.6991,0,Wall_out
5,11,1,-24,0,37.6991,0,Wall_out
6,9,1,-24,0,37.6991,0,Wall_out
7,7,1,-24,0,37.6991,0,Wall_out
8,5,1,-24,0,37.6991,0,Wall_out
9,3,1,-24,0,37.6991,0,Wall_out
10,1,1,-24,0,37.6991,0,Wall_out
11,-1,1,-24,0,37.6991,0,Wall_out
12,-3,1,-24,0,37.6991,0,Wall_out
13,-5,1,-24,0,37.6991,0,Wall_out
14,-11,1,-24,0,37.6991,0,Wall_out
15,-13,1,-24,0,37.6991,0,Wall_out
16,-15,1,-24,0,37.6991,0,Wall_out
17,-17,1,-24,0,37.6991,0,Wall_out
18,-19,1,-24,0,37.6991,0,Wall_out
19,-19,1,2,0,40.8407,0,Wall_out
20,-15,1,2,0,40.8407,0,Wall_out
21,-13,1,2,0,40.8407,0,Wall_out
22,-11,1,2,0,40.8407,0,Wall_out
23,-9,1,2,0,40.8407,0,Wall_out
24,-5,1,2,0,40.8407,0,Wall_out
25,-3,1,2,0,40.8407,0,Wall_out
26,5,1,2,0,40.8407,0,Wall_out
27,11,1,2,0,40.8407,0,Wall_out
28,13,1,2,0,40.8407,0,Wall_out
29,15,1,2,0,40.8407,0,Wall_out
30,17,1,2,0,40.8407,0,Wall_out
31,19,1,2,0,40.8407,0,Wall_out
32,-16,1,-22,0,59.6903,0,Flor_I_one
33,-14,1,-22,0,59.6903,0,Flor_I_one
34,-14,1,-22,0,64.4027,0,Flor_L_one
35,-14,1,-20,0,70.6858,0,Flor_I_one
36,-14,1,-18,0,70.6858,0,Flor_I_one
37,-14,1,-16,0,70.6858,0,Flor_I_one
38,-14,1,-18,0,73.8274,0,Flor
39,-16,1,-18,0,73.8274,0,Flor
40,-14,1,-14,0,83.2522,0,Flor_I_one
41,-16,1,-16,0,92.6769,0,Flor
42,-14,1,-16,0,92.6769,0,Flor
43,-14,1,-12,0,120.951,0,Flor_I_one
44,-16,1,-14,0,124.093,0,Flor
45,-14,1,-14,0,124.093,0,Flor
46,-13,1,-12,0,141.372,0,Wall
47,-12,1,-13,0,149.226,0,Wall
48,-12,1,-15,0,149.226,0,Wall
49,-12,1,-17,0,149.226,0,Wall
50,-12,1,-19,0,149.226,0,Wall
51,-12,1,-21,0,149.226,0,Wall
52,-12,1,-23,0,149.226,0,Wall
53,-12,1,-11,0,155.509,0,Wall
54,-12,1,-9,0,155.509,0,Wall
55,-12,1,1,0,155.509,0,Wall
56,-16,1,-10,0,160.221,0,Flor_I_one
57,-14,1,-10,0,160.221,0,Flor_I_one
58,-14,1,-10,0,164.934,0,Flor_L_one
59,-14,1,-8,0,164.934,0,Flor_I_one
60,-14,1,-6,0,164.934,0,Flor_I_one
61,-16,1,0,0,175.929,0,Flor_I_one
62,-14,1,0,0,175.929,0,Flor_L_one
63,-14,1,0,0,177.5,0,Flor_I_one
64,-14,1,-2,0,177.5,0,Flor_I_one
65,-14,1,-4,0,177.5,0,Flor_I_one
66,-16,1,0,0,179.071,0,Flor
67,-16,1,-2,0,179.071,0,Flor
68,-16,1,-4,0,179.071,0,Flor
69,-16,1,-6,0,179.071,0,Flor
70,-16,1,-8,0,179.071,0,Flor
71,-14,1,-8,0,179.071,0,Flor
72,-14,1,-6,0,179.071,0,Flor
73,-14,1,-4,0,179.071,0,Flor
74,-14,1,-2,0,179.071,0,Flor
75,-14,1,0,0,179.071,0,Flor
76,7,1,2,0,185.354,0,Wall_out
77,9,1,2,0,185.354,0,Wall_out
78,-10,1,0,0,199.491,0,Flor_L_one
79,-10,1,-2,0,205.774,0,Flor_I_one
80,-10,1,0,0,219.912,0,Flor_I_one
81,-8,1,0,0,219.912,0,Flor_I_one
82,-6,1,0,0,219.912,0,Flor_I_one
83,-4,1,0,0,219.912,0,Flor_I_one
84,-2,1,0,0,219.912,0,Flor_I_one
85,4,1,0,0,219.912,0,Flor_I_one
86,6,1,0,0,219.912,0,Flor_I_one
87,8,1,0,0,219.912,0,Flor_I_one
88,10,1,0,0,219.912,0,Flor_I_one
89,12,1,0,0,219.912,0,Flor_L_one
90,12,1,-2,0,234.049,0,Flor_I_one
91,12,1,0,0,234.049,0,Flor_I_one
92,10,1,0,0,234.049,0,Flor
93,8,1,0,0,234.049,0,Flor
94,6,1,0,0,234.049,0,Flor
95,4,1,0,0,234.049,0,Flor
96,-2,1,0,0,234.049,0,Flor
97,-4,1,0,0,234.049,0,Flor
98,-6,1,0,0,234.049,0,Flor
99,-8,1,0,0,234.049,0,Flor
100,-10,1,0,0,234.049,0,Flor
101,-10,1,-2,0,234.049,0,Flor
102,-8,1,-2,0,234.049,0,Flor
103,-6,1,-2,0,234.049,0,Flor
104,-4,1,-2,0,234.049,0,Flor
105,-2,1,-2,0,234.049,0,Flor
106,0,1,-2,0,234.049,0,Flor
107,2,1,-2,0,234.049,0,Flor
108,4,1,-2,0,234.049,0,Flor
109,6,1,-2,0,234.049,0,Flor
110,8,1,-2,0,234.049,0,Flor
111,10,1,-2,0,234.049,0,Flor
112,16,1,0,0,306.306,0,Flor_L_one
113,16,1,0,0,307.876,0,Flor_I_one
114,16,1,-2,0,312.589,0,Flor_I_one
115,16,1,-4,0,312.589,0,Flor_I_one
116,16,1,-6,0,312.589,0,Flor_I_one
117,16,1,-8,0,312.589,0,Flor_I_one
118,16,1,-10,0,312.589,0,Flor_I_one
119,16,1,-12,0,318.872,0,Flor_I_one
120,16,1,-14,0,318.872,0,Flor_I_one
121,16,1,-16,0,318.872,0,Flor_I_one
122,16,1,-18,0,318.872,0,Flor_I_one
123,16,1,-20,0,318.872,0,Flor_I_one
124,16,1,-22,0,318.872,0,Flor_I_one
125,16,1,-22,0,323.584,0,Flor_L_one
126,-12,1,-7,0,331.438,0,Wall
127,-12,1,-5,0,331.438,0,Wall
128,-12,1,-2,0,331.438,0,OpenDoor
129,14,1,-2,0,331.438,0,OpenDoor
130,14,1,1,0,331.438,0,Wall
131,14,1,-5,0,331.438,0,Wall
132,-10,1,-4,0,350.288,0,Flor_I_one
133,-10,1,-4,0,355,0,Flor_L_one
134,12,1,-4,0,359.713,0,Flor_L_one
135,12,1,-4,0,361.284,0,Flor_I_one
136,10,1,-4,0,361.284,0,Flor_I_one
137,8,1,-4,0,361.284,0,Flor_I_one
138,6,1,-4,0,361.284,0,Flor_I_one
139,4,1,-4,0,361.284,0,Flor_I_one
140,2,1,-4,0,361.284,0,Flor_I_one
141,0,1,-4,0,361.284,0,Flor_I_one
142,-2,1,-4,0,361.284,0,Flor_I_one
143,-4,1,-4,0,361.284,0,Flor_I_one
144,-6,1,-4,0,361.284,0,Flor_I_one
145,-8,1,-4,0,361.284,0,Flor_I_one
146,13,1,-6,0,364.425,0,Wall
147,11,1,-6,0,364.425,0,Wall
148,9,1,-6,0,364.425,0,Wall
149,7,1,-6,0,364.425,0,Wall
150,5,1,-6,0,364.425,0,Wall
151,3,1,-6,0,364.425,0,Wall
152,1,1,-6,0,364.425,0,Wall
153,-1,1,-6,0,364.425,0,Wall
154,-3,1,-6,0,364.425,0,Wall
155,-5,1,-6,0,364.425,0,Wall
156,-7,1,-6,0,364.425,0,Wall
157,-9,1,-6,0,364.425,0,Wall
158,-11,1,-6,0,364.425,0,Wall
159,18,1,-20,0,367.567,0,Flor
160,16,1,0,0,372.279,0,Flor
161,16,1,-2,0,372.279,0,Flor
162,16,1,-4,0,372.279,0,Flor
163,16,1,-6,0,372.279,0,Flor
164,16,1,-8,0,372.279,0,Flor
165,16,1,-10,0,372.279,0,Flor
166,16,1,-12,0,372.279,0,Flor
167,16,1,-14,0,372.279,0,Flor
168,16,1,-16,0,372.279,0,Flor
169,16,1,-18,0,372.279,0,Flor
170,12,1,-24,0,6.28319,0,Flor
171,12,1,-22,0,6.28319,0,Flor
172,12,1,-18,0,6.28319,0,Flor
173,12,1,-16,0,6.28319,0,Flor
174,0,1,-22,0,6.28319,0,Flor
175,0,1,-18,0,6.28319,0,Flor
176,12,1,-8,0,7.85398,0,Flor_I_one
177,12,1,-12,0,7.85398,0,Flor_L_one
178,12,1,-12,0,9.42478,0,Flor_I_one
179,10,1,-12,0,9.42478,0,Flor_I_one
180,8,1,-12,0,9.42478,0,Flor_I_one
181,6,1,-12,0,9.42478,0,Flor_I_one
182,4,1,-12,0,9.42478,0,Flor_I_one
183,2,1,-12,0,9.42478,0,Flor_I_one
184,10,1,-8,0,12.5664,0,Flor_I_one
185,8,1,-8,0,12.5664,0,Flor_I_one
186,6,1,-8,0,12.5664,0,Flor_I_one
187,4,1,-8,0,12.5664,0,Flor_I_one
188,2,1,-8,0,12.5664,0,Flor_I_one
189,0,1,-8,0,12.5664,0,Flor_I_one
190,-2,1,-8,0,12.5664,0,Flor_I_one
191,-4,1,-8,0,12.5664,0,Flor_I_one
192,-6,1,-8,0,12.5664,0,Flor_I_one
193,-8,1,-8,0,12.5664,0,Flor_I_one
194,-10,1,-8,0,12.5664,0,Flor_I_one
195,-10,1,-8,0,17.2788,0,Flor_L_one
196,12,1,-8,0,18.8496,0,Flor_L_one
197,-10,1,-22,0,21.9911,0,Flor_L_one
198,-2,1,-22,0,26.7035,0,Flor_L_one
199,-2,1,-22,0,28.2743,0,Flor_I_one
200,-4,1,-22,0,28.2743,0,Flor_I_one
201,-6,1,-22,0,28.2743,0,Flor_I_one
202,-10,1,-22,0,29.8451,0,Flor_I_one
203,-10,1,-20,0,29.8451,0,Flor_I_one
204,-10,1,-18,0,29.8451,0,Flor_I_one
205,-10,1,-16,0,29.8451,0,Flor_I_one
206,-10,1,-14,0,29.8451,0,Flor_I_one
207,-10,1,-12,0,29.8451,0,Flor_I_one
208,-10,1,-10,0,29.8451,0,Flor_I_one
209,10,1,-10,0,29.8451,0,Flor
210,8,1,-10,0,29.8451,0,Flor
211,6,1,-10,0,29.8451,0,Flor
212,4,1,-10,0,29.8451,0,Flor
213,2,1,-10,0,29.8451,0,Flor
214,0,1,-10,0,29.8451,0,Flor
215,-2,1,-10,0,29.8451,0,Flor
216,-4,1,-10,0,29.8451,0,Flor
217,-6,1,-10,0,29.8451,0,Flor
218,-8,1,-10,0,29.8451,0,Flor
219,-8,1,-12,0,29.8451,0,Flor
220,-6,1,-12,0,29.8451,0,Flor
221,-4,1,-12,0,29.8451,0,Flor
222,-2,1,-12,0,29.8451,0,Flor
223,0,1,-12,0,29.8451,0,Flor
224,2,1,-12,0,29.8451,0,Flor
225,4,1,-12,0,29.8451,0,Flor
226,6,1,-12,0,29.8451,0,Flor
227,8,1,-12,0,29.8451,0,Flor
228,10,1,-12,0,29.8451,0,Flor
229,12,1,-12,0,29.8451,0,Flor
230,-2,1,-14,0,29.8451,0,Flor
231,-2,1,-16,0,29.8451,0,Flor
232,-2,1,-18,0,29.8451,0,Flor
233,-2,1,-20,0,29.8451,0,Flor
234,-2,1,-22,0,29.8451,0,Flor
235,-4,1,-22,0,29.8451,0,Flor
236,-4,1,-20,0,29.8451,0,Flor
237,-4,1,-18,0,29.8451,0,Flor
238,-4,1,-16,0,29.8451,0,Flor
239,-4,1,-14,0,29.8451,0,Flor
240,-6,1,-14,0,29.8451,0,Flor
241,-8,1,-14,0,29.8451,0,Flor
242,-8,1,-16,0,29.8451,0,Flor
243,-6,1,-16,0,29.8451,0,Flor
244,-6,1,-18,0,29.8451,0,Flor
245,-8,1,-18,0,29.8451,0,Flor
246,-8,1,-20,0,29.8451,0,Flor
247,-6,1,-22,0,29.8451,0,Flor
248,-6,1,-20,0,29.8451,0,Flor
249,-2,1,-20,0,32.9867,0,Flor_I_one
250,-2,1,-18,0,32.9867,0,Flor_I_one
251,-2,1,-16,0,32.9867,0,Flor_I_one
